data_src, model, feature, duration, train_acc, train_auc, test_acc, test_auc, valid_acc, valid_auc
       lol, gbdt_ntree300_lr0.02_md3_msl5, champion_one_team_sparse, 62.00, 0.54370, 0.56456, 0.53857, 0.55183, 0.53594, 0.54839
       lol, gbdt_ntree300_lr0.01_md3_msl5, champion_one_team_sparse, 60.00, 0.53464, 0.55381, 0.53272, 0.54601, 0.52920, 0.54252
       lol, gbdt_ntree300_lr0.1_md6_msl5, champion_one_team_sparse, 134.67, 0.63691, 0.69561, 0.53938, 0.55506, 0.53562, 0.55006
       lol, gbdt_ntree300_lr0.05_md6_msl5, champion_one_team_sparse, 134.33, 0.60513, 0.65320, 0.54128, 0.55633, 0.53815, 0.55221
       lol, gbdt_ntree300_lr0.02_md6_msl5, champion_one_team_sparse, 133.00, 0.57652, 0.61374, 0.54081, 0.55470, 0.53607, 0.55011
       lol, gbdt_ntree300_lr0.01_md6_msl5, champion_one_team_sparse, 131.33, 0.56010, 0.59073, 0.53617, 0.54995, 0.53438, 0.54634
       lol, gbdt_ntree300_lr0.1_md10_msl5, champion_one_team_sparse, 310.00, 0.78919, 0.87679, 0.53360, 0.54439, 0.52787, 0.54107
       lol, gbdt_ntree300_lr0.05_md10_msl5, champion_one_team_sparse, 313.00, 0.71632, 0.79809, 0.53640, 0.54841, 0.53236, 0.54560
       lol, gbdt_ntree300_lr0.02_md10_msl5, champion_one_team_sparse, 327.67, 0.64882, 0.71484, 0.53919, 0.55139, 0.53258, 0.54629
       lol, gbdt_ntree300_lr0.01_md10_msl5, champion_one_team_sparse, 324.00, 0.61238, 0.66657, 0.53882, 0.55027, 0.53241, 0.54399
       lol, gbdt_ntree300_lr0.1_md3_msl10, champion_one_team_sparse, 58.33, 0.56411, 0.59300, 0.54441, 0.56059, 0.54004, 0.55693
       lol, gbdt_ntree300_lr0.05_md3_msl10, champion_one_team_sparse, 58.67, 0.55464, 0.57947, 0.54365, 0.55775, 0.53815, 0.55420
       lol, gbdt_ntree300_lr0.02_md3_msl10, champion_one_team_sparse, 59.67, 0.54346, 0.56413, 0.53789, 0.55123, 0.53601, 0.54781
       lol, gbdt_ntree300_lr0.01_md3_msl10, champion_one_team_sparse, 59.33, 0.53469, 0.55362, 0.53212, 0.54575, 0.53007, 0.54244
       lol, gbdt_ntree300_lr0.1_md6_msl10, champion_one_team_sparse, 128.33, 0.62628, 0.68047, 0.54128, 0.55602, 0.53618, 0.55228
       lol, gbdt_ntree300_lr0.05_md6_msl10, champion_one_team_sparse, 131.33, 0.59837, 0.64317, 0.54242, 0.55746, 0.53651, 0.55133
       lol, gbdt_ntree300_lr0.02_md6_msl10, champion_one_team_sparse, 133.33, 0.57293, 0.60794, 0.54029, 0.55506, 0.53503, 0.55085
       lol, gbdt_ntree300_lr0.01_md6_msl10, champion_one_team_sparse, 136.33, 0.55785, 0.58724, 0.53590, 0.54995, 0.53330, 0.54633
       lol, gbdt_ntree300_lr0.1_md10_msl10, champion_one_team_sparse, 339.33, 0.74684, 0.83080, 0.53379, 0.54494, 0.53135, 0.54509
       lol, gbdt_ntree300_lr0.05_md10_msl10, champion_one_team_sparse, 320.67, 0.68619, 0.75935, 0.53737, 0.54996, 0.53581, 0.54907
       lol, gbdt_ntree300_lr0.02_md10_msl10, champion_one_team_sparse, 335.33, 0.62984, 0.68815, 0.54039, 0.55245, 0.53539, 0.54894
       lol, gbdt_ntree300_lr0.01_md10_msl10, champion_one_team_sparse, 351.00, 0.59980, 0.64839, 0.53844, 0.55020, 0.53197, 0.54625
       lol, gbdt_ntree400_lr0.1_md3_msl1, champion_one_team_sparse, 83.67, 0.57002, 0.60181, 0.54422, 0.56078, 0.53917, 0.55616
       lol, gbdt_ntree400_lr0.05_md3_msl1, champion_one_team_sparse, 80.67, 0.55920, 0.58618, 0.54504, 0.55916, 0.53808, 0.55541
       lol, gbdt_ntree400_lr0.02_md3_msl1, champion_one_team_sparse, 78.33, 0.54764, 0.56960, 0.54099, 0.55442, 0.53683, 0.55067
       lol, gbdt_ntree400_lr0.01_md3_msl1, champion_one_team_sparse, 81.00, 0.53882, 0.55803, 0.53557, 0.54775, 0.53185, 0.54452
       lol, gbdt_ntree400_lr0.1_md6_msl1, champion_one_team_sparse, 182.67, 0.67222, 0.74263, 0.53874, 0.55267, 0.53430, 0.54965
       lol, gbdt_ntree400_lr0.05_md6_msl1, champion_one_team_sparse, 179.33, 0.62948, 0.68613, 0.54383, 0.55659, 0.53639, 0.55062
       lol, gbdt_ntree400_lr0.02_md6_msl1, champion_one_team_sparse, 175.33, 0.59091, 0.63489, 0.54261, 0.55583, 0.53547, 0.55069
       lol, gbdt_ntree400_lr0.01_md6_msl1, champion_one_team_sparse, 183.33, 0.57034, 0.60569, 0.53771, 0.55162, 0.53456, 0.54816
       lol, gbdt_ntree400_lr0.1_md10_msl1, champion_one_team_sparse, 452.67, 0.89146, 0.96152, 0.53170, 0.54125, 0.52761, 0.53630
       lol, gbdt_ntree400_lr0.05_md10_msl1, champion_one_team_sparse, 459.00, 0.80209, 0.89122, 0.53548, 0.54632, 0.53310, 0.54276
       lol, gbdt_ntree400_lr0.02_md10_msl1, champion_one_team_sparse, 469.67, 0.70407, 0.78668, 0.53838, 0.54956, 0.53254, 0.54448
       lol, gbdt_ntree400_lr0.01_md10_msl1, champion_one_team_sparse, 482.33, 0.65171, 0.72251, 0.53869, 0.54980, 0.53122, 0.54392
       lol, gbdt_ntree400_lr0.1_md3_msl3, champion_one_team_sparse, 82.33, 0.56995, 0.60129, 0.54555, 0.56111, 0.53962, 0.55638
       lol, gbdt_ntree400_lr0.05_md3_msl3, champion_one_team_sparse, 81.67, 0.55912, 0.58613, 0.54396, 0.55919, 0.53957, 0.55547
       lol, gbdt_ntree400_lr0.02_md3_msl3, champion_one_team_sparse, 83.67, 0.54772, 0.56954, 0.54144, 0.55444, 0.53750, 0.55077
       lol, gbdt_ntree400_lr0.01_md3_msl3, champion_one_team_sparse, 77.67, 0.53879, 0.55815, 0.53617, 0.54828, 0.53182, 0.54464
       lol, gbdt_ntree400_lr0.1_md6_msl3, champion_one_team_sparse, 171.67, 0.66394, 0.73083, 0.53953, 0.55345, 0.53560, 0.55010
